,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence
941,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No
942,Not eligible for coverage / N/A,,I don't know,I don't know,I don't know,Very easy,No,No
943,Yes,No,No,Yes,I don't know,Somewhat difficult,Maybe,No
944,Yes,Yes,I don't know,Yes,I don't know,Somewhat easy,Maybe,No
945,I don't know,I am not sure,I don't know,I don't know,Yes,Somewhat easy,No,No
946,,,,,,,,
947,I don't know,No,No,No,Yes,Very easy,No,No
948,Yes,I am not sure,No,No,I don't know,Neither easy nor difficult,Yes,Maybe
949,,,,,,,,
950,I don't know,I am not sure,No,No,I don't know,Somewhat difficult,Maybe,No
951,I don't know,No,No,I don't know,I don't know,I don't know,No,No
952,,,,,,,,
953,Yes,No,Yes,Yes,Yes,Somewhat easy,Maybe,No
954,Yes,Yes,Yes,Yes,Yes,Very easy,No,No
955,No,No,No,No,I don't know,I don't know,Yes,No
956,I don't know,I am not sure,No,No,I don't know,Somewhat difficult,Maybe,No
957,,,,,,,,
958,Yes,No,I don't know,I don't know,I don't know,I don't know,Maybe,Maybe
959,Yes,I am not sure,Yes,Yes,Yes,Neither easy nor difficult,Maybe,No
960,Yes,I am not sure,No,Yes,Yes,Very easy,No,No
961,I don't know,No,No,I don't know,Yes,Somewhat easy,No,No
962,,,,,,,,
963,Yes,I am not sure,No,No,I don't know,Very easy,No,No
964,Yes,No,No,I don't know,I don't know,I don't know,Maybe,No
965,Yes,No,No,No,No,Somewhat difficult,Yes,No
966,No,Yes,No,No,I don't know,Somewhat easy,Maybe,No
967,Yes,Yes,No,No,Yes,Somewhat difficult,No,No
968,Yes,I am not sure,No,Yes,Yes,Neither easy nor difficult,Maybe,Maybe
969,No,,No,No,I don't know,Very easy,No,No
970,Yes,Yes,No,Yes,I don't know,I don't know,Yes,Maybe
971,Yes,I am not sure,No,I don't know,Yes,Very easy,Maybe,No
972,Yes,Yes,Yes,Yes,Yes,Somewhat difficult,Yes,No
973,Yes,Yes,Yes,Yes,I don't know,Somewhat easy,No,No
974,No,,No,No,I don't know,Neither easy nor difficult,Yes,No
975,Yes,No,No,No,I don't know,Very difficult,Maybe,No
976,No,,Yes,No,Yes,Very easy,No,No
977,I don't know,I am not sure,No,No,I don't know,Very difficult,Yes,No
978,Yes,Yes,No,No,I don't know,Very difficult,Yes,Yes
979,Yes,Yes,Yes,Yes,Yes,I don't know,Maybe,No
980,I don't know,I am not sure,Yes,No,Yes,I don't know,Maybe,No
981,I don't know,I am not sure,No,No,I don't know,Somewhat easy,Maybe,Maybe
982,I don't know,I am not sure,I don't know,I don't know,I don't know,I don't know,Yes,No
983,,,,,,,,
984,I don't know,No,No,I don't know,I don't know,Neither easy nor difficult,Maybe,No
985,Yes,Yes,I don't know,Yes,Yes,Neither easy nor difficult,No,No
986,,,,,,,,
987,No,,No,Yes,I don't know,I don't know,Yes,No
988,No,No,No,No,I don't know,Somewhat easy,Maybe,No
989,,,,,,,,
990,I don't know,No,No,I don't know,I don't know,Neither easy nor difficult,Maybe,No
991,Yes,I am not sure,Yes,Yes,I don't know,Somewhat difficult,No,No
992,Yes,Yes,I don't know,I don't know,Yes,Neither easy nor difficult,Maybe,No
993,Yes,No,No,No,I don't know,Neither easy nor difficult,No,No
994,No,I am not sure,No,I don't know,I don't know,Very easy,No,No
995,Yes,No,I don't know,I don't know,I don't know,I don't know,Maybe,No
996,I don't know,No,No,I don't know,Yes,Somewhat difficult,Maybe,No
997,Yes,I am not sure,No,I don't know,Yes,Very easy,No,No
998,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No
999,No,No,No,No,I don't know,Somewhat easy,No,Maybe
1000,,,,,,,,
1001,No,,No,No,I don't know,Somewhat easy,No,No
1002,Yes,No,No,I don't know,I don't know,Somewhat difficult,Yes,Maybe
1003,Yes,I am not sure,I don't know,Yes,I don't know,Somewhat easy,Maybe,No
1004,Yes,Yes,No,I don't know,Yes,Very easy,Maybe,Maybe
1005,,,,,,,,
1006,Yes,Yes,I don't know,I don't know,I don't know,Neither easy nor difficult,No,No
1007,I don't know,I am not sure,No,I don't know,I don't know,Somewhat easy,No,No
1008,I don't know,I am not sure,No,I don't know,I don't know,Somewhat easy,No,No
1009,No,I am not sure,No,No,I don't know,Neither easy nor difficult,Maybe,Maybe
1010,,,,,,,,
1011,I don't know,I am not sure,No,Yes,Yes,Somewhat easy,No,No
1012,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,No
1013,Yes,Yes,No,Yes,Yes,Neither easy nor difficult,Maybe,No
1014,Yes,I am not sure,No,Yes,I don't know,Somewhat difficult,Maybe,Maybe
1015,I don't know,I am not sure,I don't know,I don't know,I don't know,Very easy,No,No
1016,Yes,Yes,Yes,Yes,I don't know,Somewhat easy,Maybe,No
1017,Yes,Yes,Yes,Yes,I don't know,Neither easy nor difficult,Maybe,Maybe
1018,I don't know,No,No,I don't know,I don't know,Somewhat difficult,Yes,Maybe
1019,,,,,,,,
1020,Not eligible for coverage / N/A,No,No,I don't know,I don't know,Very difficult,Yes,Maybe
1021,Yes,Yes,Yes,Yes,I don't know,Very easy,No,No
1022,Yes,Yes,No,Yes,Yes,Very easy,No,No
1023,Yes,Yes,No,I don't know,I don't know,Very easy,No,No
1024,I don't know,I am not sure,I don't know,Yes,I don't know,I don't know,Maybe,No
1025,No,No,No,No,I don't know,Neither easy nor difficult,Maybe,No
1026,Yes,Yes,Yes,Yes,Yes,Very easy,No,No
1027,,,,,,,,
1028,,,,,,,,
1029,I don't know,I am not sure,No,No,I don't know,Very difficult,No,No
1030,Yes,No,No,Yes,I don't know,Somewhat easy,Maybe,No
1031,No,,No,No,I don't know,Somewhat difficult,Maybe,Maybe
1032,Yes,Yes,No,Yes,Yes,I don't know,Yes,No
1033,,,,,,,,
1034,No,,No,I don't know,I don't know,Very difficult,Yes,No
1035,Yes,I am not sure,I don't know,Yes,I don't know,Somewhat easy,Maybe,No
1036,Not eligible for coverage / N/A,,No,No,I don't know,Neither easy nor difficult,Maybe,Maybe
1037,Yes,I am not sure,No,I don't know,I don't know,Very difficult,Yes,Maybe
1038,,,,,,,,
1039,I don't know,I am not sure,No,I don't know,I don't know,Somewhat easy,Maybe,No
1040,I don't know,No,No,I don't know,I don't know,Neither easy nor difficult,Maybe,Maybe
1041,,,,,,,,
1042,No,No,No,No,No,Very difficult,Yes,No
1043,No,,No,No,No,I don't know,Yes,Maybe
1044,Yes,Yes,No,Yes,I don't know,Somewhat easy,Maybe,No
1045,No,,No,No,I don't know,Very difficult,Maybe,No
1046,I don't know,No,No,I don't know,I don't know,Somewhat difficult,Yes,No
1047,,,,,,,,
1048,No,,No,No,I don't know,Very difficult,Yes,No
1049,,,,,,,,
1050,I don't know,I am not sure,No,No,I don't know,Very easy,No,No
1051,No,No,No,No,I don't know,I don't know,Maybe,Maybe
1052,Yes,I am not sure,No,No,I don't know,I don't know,Maybe,No
1053,Yes,I am not sure,Yes,Yes,Yes,Somewhat easy,Maybe,Maybe
1054,,,,,,,,
1055,Not eligible for coverage / N/A,,No,I don't know,No,Somewhat easy,No,No
1056,Yes,I am not sure,No,Yes,I don't know,Somewhat difficult,Maybe,Maybe
1057,Not eligible for coverage / N/A,,Yes,Yes,I don't know,Somewhat difficult,Yes,No
1058,,,,,,,,
1059,Yes,No,No,Yes,Yes,I don't know,Yes,Yes
1060,,,,,,,,
1061,No,,No,No,I don't know,I don't know,Maybe,No
1062,Not eligible for coverage / N/A,,Yes,No,I don't know,Somewhat difficult,Maybe,No
1063,I don't know,I am not sure,No,No,Yes,Somewhat easy,No,No
1064,Yes,No,Yes,No,Yes,Somewhat easy,Maybe,No
1065,No,No,Yes,No,I don't know,Very easy,Maybe,No
1066,,,,,,,,
1067,Yes,I am not sure,No,I don't know,No,Somewhat difficult,Yes,Yes
1068,Yes,I am not sure,Yes,Yes,Yes,Very easy,No,No
1069,No,,No,No,I don't know,Neither easy nor difficult,Maybe,No
1070,Yes,Yes,No,Yes,Yes,Very difficult,Yes,Yes
1071,I don't know,I am not sure,I don't know,I don't know,No,I don't know,No,No
1072,Yes,No,No,Yes,I don't know,Very difficult,Yes,Maybe
1073,Not eligible for coverage / N/A,I am not sure,Yes,Yes,Yes,I don't know,Yes,Maybe
1074,,,,,,,,
1075,Yes,Yes,No,No,Yes,I don't know,Maybe,No
1076,,,,,,,,
1077,Not eligible for coverage / N/A,,Yes,I don't know,I don't know,Somewhat easy,No,No
1078,,,,,,,,
1079,No,,No,No,I don't know,Somewhat easy,Maybe,No
1080,Yes,No,No,I don't know,I don't know,Very difficult,Maybe,No
1081,No,,No,No,I don't know,Somewhat difficult,Maybe,Yes
1082,Yes,Yes,Yes,I don't know,I don't know,Somewhat easy,Maybe,No
1083,No,,No,No,I don't know,I don't know,Yes,Maybe
1084,,,,,,,,
1085,I don't know,No,No,I don't know,I don't know,Somewhat easy,Maybe,Maybe
1086,,,,,,,,
1087,Not eligible for coverage / N/A,,I don't know,I don't know,I don't know,Very easy,No,No
1088,,,,,,,,
1089,,,,,,,,
1090,Yes,Yes,No,Yes,I don't know,Very difficult,Yes,Maybe
1091,Yes,I am not sure,No,No,I don't know,Very difficult,Yes,Yes
1092,Yes,I am not sure,I don't know,Yes,I don't know,Somewhat easy,No,No
1093,,,,,,,,
1094,Not eligible for coverage / N/A,,No,No,I don't know,Neither easy nor difficult,Maybe,Maybe
1095,Yes,I am not sure,Yes,I don't know,I don't know,Neither easy nor difficult,Maybe,No
1096,Not eligible for coverage / N/A,No,No,No,No,Somewhat difficult,Yes,No
1097,,,,,,,,
1098,,,,,,,,
1099,I don't know,I am not sure,No,No,I don't know,Neither easy nor difficult,Maybe,Maybe
1100,Yes,I am not sure,I don't know,Yes,Yes,Neither easy nor difficult,Yes,Maybe
1101,I don't know,I am not sure,Yes,Yes,I don't know,Very easy,No,No
1102,,,,,,,,
1103,Yes,I am not sure,No,Yes,Yes,Very difficult,Yes,Yes
1104,,,,,,,,
1105,No,,No,No,Yes,Somewhat difficult,No,No
1106,Yes,I am not sure,No,No,Yes,Somewhat easy,Maybe,No
1107,,,,,,,,
1108,,,,,,,,
1109,No,,No,No,I don't know,Very easy,No,No
1110,No,I am not sure,No,No,I don't know,Somewhat difficult,Maybe,No
1111,No,No,No,No,I don't know,Very difficult,Maybe,No
1112,No,,Yes,Yes,Yes,Somewhat easy,Yes,Yes
1113,I don't know,No,No,I don't know,I don't know,Somewhat easy,No,No
1114,I don't know,Yes,No,No,I don't know,Neither easy nor difficult,Maybe,No
1115,No,,No,No,I don't know,Very easy,No,No
1116,Not eligible for coverage / N/A,,No,No,Yes,Neither easy nor difficult,Maybe,No
1117,No,No,Yes,No,Yes,Somewhat difficult,Yes,Maybe
1118,I don't know,I am not sure,Yes,Yes,I don't know,Very easy,Maybe,No
1119,No,Yes,No,No,No,Neither easy nor difficult,Yes,Maybe
1120,I don't know,I am not sure,No,No,I don't know,Somewhat difficult,Yes,No
1121,Yes,Yes,Yes,Yes,Yes,Very easy,No,Maybe
1122,Yes,Yes,No,I don't know,I don't know,Somewhat difficult,Yes,Maybe
1123,Yes,Yes,No,No,I don't know,Neither easy nor difficult,Yes,Maybe
1124,,,,,,,,
1125,Yes,Yes,No,No,I don't know,I don't know,Yes,No
1126,Yes,No,No,No,Yes,Very difficult,Yes,Maybe
1127,Yes,Yes,No,I don't know,I don't know,Somewhat easy,No,No
1128,No,I am not sure,No,No,I don't know,Somewhat difficult,Maybe,No
1129,I don't know,No,I don't know,Yes,Yes,I don't know,Yes,Maybe
1130,Yes,No,No,No,I don't know,Very difficult,Maybe,No
1131,Yes,Yes,No,No,Yes,I don't know,Maybe,No
1132,I don't know,I am not sure,No,I don't know,I don't know,Somewhat difficult,Maybe,No
1133,Yes,Yes,No,No,Yes,Neither easy nor difficult,Maybe,No
1134,Yes,Yes,No,Yes,Yes,Somewhat easy,Maybe,Maybe
1135,Yes,Yes,Yes,Yes,I don't know,Neither easy nor difficult,Maybe,No
1136,Yes,Yes,Yes,Yes,I don't know,I don't know,Yes,Maybe
1137,Not eligible for coverage / N/A,,No,I don't know,I don't know,Very difficult,Yes,Maybe
1138,,,,,,,,
1139,I don't know,No,No,No,I don't know,I don't know,Maybe,No
1140,,,,,,,,
1141,Not eligible for coverage / N/A,I am not sure,No,No,I don't know,Somewhat difficult,Maybe,No
1142,Yes,Yes,No,No,I don't know,Very easy,No,No
1143,I don't know,I am not sure,No,I don't know,I don't know,Somewhat easy,No,No
1144,Yes,I am not sure,No,I don't know,I don't know,Very easy,Maybe,No
1145,Yes,No,No,No,I don't know,Very easy,Maybe,No
1146,I don't know,I am not sure,No,Yes,I don't know,Very easy,Maybe,No
1147,I don't know,No,No,I don't know,I don't know,Somewhat difficult,Maybe,Maybe
1148,I don't know,No,No,No,Yes,Very easy,Maybe,No
1149,Yes,No,No,Yes,Yes,Very easy,No,No
1150,I don't know,No,No,No,Yes,Very easy,No,No
1151,I don't know,No,No,I don't know,Yes,I don't know,Maybe,Maybe
1152,I don't know,No,No,No,I don't know,Very easy,No,No
1153,Yes,I am not sure,No,No,Yes,Somewhat easy,No,No
1154,I don't know,I am not sure,No,No,I don't know,Somewhat difficult,Yes,No
1155,Yes,No,No,I don't know,I don't know,Very easy,Maybe,No
1156,Yes,I am not sure,No,No,I don't know,Very difficult,Maybe,No
1157,I don't know,No,I don't know,Yes,I don't know,I don't know,Yes,Maybe
1158,Yes,No,I don't know,Yes,Yes,Somewhat easy,No,No
1159,I don't know,I am not sure,Yes,I don't know,Yes,Very easy,No,No
1160,No,No,No,No,No,Neither easy nor difficult,Yes,Maybe
1161,I don't know,No,No,I don't know,I don't know,Very easy,No,No
1162,Yes,Yes,No,I don't know,I don't know,Very difficult,Maybe,No
1163,No,I am not sure,No,No,I don't know,Very easy,Maybe,Maybe
1164,No,,No,No,Yes,Very easy,No,No
1165,Yes,Yes,Yes,Yes,Yes,Very difficult,Yes,Maybe
1166,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No
1167,Not eligible for coverage / N/A,I am not sure,No,I don't know,I don't know,Very difficult,Yes,Yes
1168,I don't know,No,No,No,I don't know,Very difficult,Maybe,No
1169,Yes,Yes,No,Yes,I don't know,Very difficult,Yes,No
1170,I don't know,No,No,I don't know,Yes,Neither easy nor difficult,Maybe,No
1171,I don't know,No,No,No,Yes,Very easy,No,No
1172,,,,,,,,
1173,,,,,,,,
1174,Not eligible for coverage / N/A,,Yes,No,I don't know,Very easy,No,No
1175,Yes,Yes,No,No,I don't know,Very difficult,Maybe,Maybe
1176,I don't know,No,No,No,Yes,Somewhat easy,No,No
1177,Yes,I am not sure,No,Yes,Yes,Somewhat easy,Maybe,Maybe
1178,Yes,Yes,No,No,I don't know,Very difficult,Yes,Yes
1179,Not eligible for coverage / N/A,,I don't know,I don't know,I don't know,Very easy,No,No
1180,,,,,,,,
1181,No,No,No,No,I don't know,Somewhat difficult,Yes,Maybe
1182,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,No
1183,No,,No,No,I don't know,Somewhat easy,No,No
1184,I don't know,I am not sure,No,No,No,Very difficult,Yes,No
1185,Yes,No,No,I don't know,I don't know,Neither easy nor difficult,No,No
1186,Yes,Yes,No,No,I don't know,Somewhat difficult,Yes,No
1187,Yes,No,Yes,Yes,I don't know,Very easy,No,No
1188,No,No,No,No,I don't know,Very easy,No,No
1189,,,,,,,,
1190,No,No,No,No,I don't know,Somewhat difficult,Yes,Maybe
1191,I don't know,I am not sure,No,No,I don't know,Very difficult,Yes,No
1192,No,,No,No,I don't know,Very difficult,No,Maybe
1193,Yes,Yes,No,No,I don't know,I don't know,Maybe,No
1194,Yes,No,No,Yes,I don't know,Somewhat difficult,Maybe,Maybe
1195,,,,,,,,
1196,I don't know,No,Yes,No,Yes,Somewhat difficult,Yes,Yes
1197,I don't know,Yes,Yes,Yes,I don't know,Somewhat difficult,Yes,Maybe
1198,I don't know,I am not sure,No,I don't know,I don't know,Neither easy nor difficult,Maybe,No
1199,I don't know,No,No,I don't know,I don't know,Somewhat difficult,Maybe,No
1200,I don't know,I am not sure,No,No,I don't know,Somewhat easy,Maybe,Maybe
1201,No,No,No,No,I don't know,Very easy,No,No
1202,Yes,No,No,I don't know,I don't know,Very difficult,Maybe,No
1203,I don't know,No,Yes,Yes,I don't know,Somewhat difficult,Maybe,No
1204,Yes,Yes,I don't know,I don't know,No,Somewhat easy,No,No
1205,Yes,No,No,I don't know,Yes,Somewhat easy,No,No
1206,I don't know,I am not sure,No,No,I don't know,Somewhat difficult,Maybe,No
1207,I don't know,I am not sure,No,I don't know,I don't know,Somewhat difficult,Maybe,No
1208,Yes,Yes,I don't know,I don't know,I don't know,Somewhat difficult,Maybe,No
1209,I don't know,No,No,No,I don't know,Neither easy nor difficult,No,No
1210,,,,,,,,
1211,I don't know,No,No,I don't know,I don't know,I don't know,Maybe,No
1212,Yes,I am not sure,I don't know,Yes,No,Somewhat easy,Maybe,Maybe
1213,I don't know,No,No,I don't know,I don't know,Somewhat difficult,No,No
1214,,,,,,,,
1215,,,,,,,,
1216,I don't know,No,Yes,Yes,I don't know,Somewhat easy,Maybe,Maybe
1217,,,,,,,,
1218,Yes,Yes,No,I don't know,Yes,Neither easy nor difficult,Maybe,Maybe
1219,,,,,,,,
1220,,,,,,,,
1221,Yes,Yes,No,No,Yes,Neither easy nor difficult,No,No
1222,No,,No,No,I don't know,Neither easy nor difficult,Maybe,No
1223,I don't know,I am not sure,I don't know,I don't know,I don't know,Neither easy nor difficult,No,Maybe
1224,Yes,Yes,I don't know,Yes,Yes,Neither easy nor difficult,No,No
1225,Yes,Yes,Yes,Yes,Yes,Somewhat difficult,No,No
1226,Yes,Yes,No,I don't know,I don't know,Very easy,Maybe,No
1227,Yes,No,No,No,I don't know,Somewhat easy,No,No
1228,No,,No,No,I don't know,Very difficult,Yes,Yes
1229,,,,,,,,
1230,Not eligible for coverage / N/A,No,Yes,No,I don't know,Somewhat easy,Maybe,Maybe
1231,Yes,Yes,No,No,Yes,Very easy,No,No
1232,Yes,Yes,No,No,Yes,Somewhat easy,Maybe,No
1233,Yes,Yes,No,No,Yes,Somewhat easy,Maybe,Maybe
1234,Yes,Yes,I don't know,Yes,Yes,Somewhat difficult,Maybe,Maybe
1235,Yes,Yes,No,No,I don't know,I don't know,Yes,No
1236,Yes,Yes,No,No,I don't know,Neither easy nor difficult,No,No
1237,Yes,I am not sure,No,No,I don't know,Somewhat difficult,Maybe,No
1238,I don't know,I am not sure,No,I don't know,I don't know,I don't know,Maybe,No
1239,,,,,,,,
1240,Not eligible for coverage / N/A,,No,No,I don't know,Very difficult,Maybe,No
1241,Yes,No,No,I don't know,I don't know,Very easy,No,No
1242,No,,No,No,No,Somewhat difficult,Maybe,Maybe
1243,No,No,No,No,I don't know,Somewhat easy,Maybe,Maybe
1244,I don't know,No,No,No,I don't know,Very easy,Maybe,No
1245,I don't know,I am not sure,No,I don't know,I don't know,I don't know,No,No
1246,I don't know,No,No,No,Yes,Somewhat easy,Yes,Yes
1247,,,,,,,,
1248,,,,,,,,
1249,Yes,Yes,Yes,Yes,I don't know,I don't know,Maybe,Maybe
1250,Yes,Yes,No,No,I don't know,Very easy,No,No
1251,I don't know,No,No,I don't know,Yes,Somewhat easy,Maybe,Maybe
1252,,,,,,,,
1253,Yes,No,Yes,I don't know,Yes,Very easy,No,No
1254,,,,,,,,
1255,No,No,No,No,I don't know,I don't know,Yes,No
1256,,,,,,,,
1257,Yes,Yes,No,Yes,I don't know,Very easy,Maybe,No
1258,No,I am not sure,No,No,I don't know,Neither easy nor difficult,No,No
1259,No,,No,No,I don't know,Very difficult,Maybe,No
1260,I don't know,I am not sure,No,No,No,Somewhat difficult,Yes,Maybe
1261,,,,,,,,
1262,,,,,,,,
1263,No,No,No,No,I don't know,Very easy,No,No
1264,I don't know,I am not sure,No,No,I don't know,Very difficult,Yes,No
1265,,,,,,,,
1266,Yes,Yes,No,Yes,I don't know,Neither easy nor difficult,No,No
1267,No,,No,No,I don't know,Very easy,Maybe,Maybe
1268,Not eligible for coverage / N/A,No,I don't know,I don't know,I don't know,Very easy,No,No
1269,Yes,Yes,Yes,No,Yes,Somewhat difficult,Maybe,No
1270,Yes,Yes,Yes,Yes,Yes,Very easy,No,No
1271,I don't know,No,No,I don't know,I don't know,Somewhat easy,No,No
1272,,,,,,,,
1273,Yes,I am not sure,Yes,No,Yes,Somewhat difficult,Yes,No
1274,I don't know,I am not sure,No,I don't know,I don't know,I don't know,No,No
1275,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,No
1276,,,,,,,,
1277,,,,,,,,
1278,No,I am not sure,No,No,I don't know,Somewhat easy,Maybe,Maybe
1279,Not eligible for coverage / N/A,,Yes,Yes,Yes,Very easy,No,No
1280,Not eligible for coverage / N/A,,No,No,I don't know,Somewhat difficult,Maybe,No
1281,,,,,,,,
1282,I don't know,I am not sure,No,No,I don't know,I don't know,Maybe,No
1283,Yes,No,No,I don't know,I don't know,I don't know,No,No
1284,Yes,No,No,No,I don't know,Very difficult,Yes,No
1285,Not eligible for coverage / N/A,I am not sure,I don't know,I don't know,I don't know,Neither easy nor difficult,Maybe,Maybe
1286,Yes,Yes,No,No,Yes,Somewhat difficult,Yes,Yes
1287,No,No,No,No,Yes,I don't know,No,No
1288,,,,,,,,
1289,No,,No,No,I don't know,I don't know,Maybe,Maybe
1290,Yes,Yes,No,I don't know,I don't know,Very difficult,Maybe,No
1291,Yes,No,Yes,No,Yes,Very easy,No,No
1292,Not eligible for coverage / N/A,,No,No,I don't know,Neither easy nor difficult,Maybe,No
1293,,,,,,,,
1294,I don't know,No,No,No,I don't know,Somewhat difficult,Maybe,Maybe
1295,No,No,No,No,No,Very difficult,Yes,Yes
1296,Yes,Yes,No,No,I don't know,Somewhat easy,Maybe,No
1297,No,No,No,No,I don't know,Somewhat easy,No,No
1298,Yes,Yes,Yes,Yes,Yes,Very easy,No,No
1299,,,,,,,,
1300,Yes,No,Yes,I don't know,Yes,Somewhat easy,No,No
1301,,,,,,,,
1302,Yes,I am not sure,No,No,I don't know,I don't know,Maybe,No
1303,No,I am not sure,No,I don't know,No,Very difficult,Yes,Maybe
1304,,,,,,,,
1305,,,,,,,,
1306,I don't know,No,No,No,I don't know,Very difficult,Yes,Yes
1307,No,No,No,I don't know,I don't know,Somewhat difficult,Yes,No
1308,I don't know,I am not sure,No,Yes,I don't know,Neither easy nor difficult,Maybe,No
1309,,,,,,,,
1310,Yes,I am not sure,Yes,Yes,Yes,Somewhat easy,Maybe,Maybe
1311,Yes,Yes,Yes,Yes,I don't know,Somewhat easy,No,No
1312,Yes,No,No,No,Yes,I don't know,Yes,Yes
1313,,,,,,,,
1314,Yes,I am not sure,I don't know,Yes,Yes,Neither easy nor difficult,Yes,Yes
1315,,,,,,,,
1316,I don't know,I am not sure,I don't know,No,I don't know,Somewhat easy,Maybe,No
1317,Yes,Yes,Yes,Yes,Yes,I don't know,No,No
1318,I don't know,I am not sure,I don't know,I don't know,I don't know,I don't know,Maybe,No
1319,No,No,No,No,I don't know,Neither easy nor difficult,Maybe,Maybe
1320,Yes,Yes,No,I don't know,Yes,Somewhat difficult,Yes,Maybe
1321,,,,,,,,
1322,I don't know,No,I don't know,I don't know,I don't know,Neither easy nor difficult,Maybe,No
1323,Yes,Yes,No,Yes,Yes,Very difficult,Yes,Maybe
1324,Yes,I am not sure,Yes,No,Yes,Somewhat easy,No,No
1325,Yes,Yes,Yes,Yes,I don't know,Somewhat easy,Maybe,Maybe
1326,,,,,,,,
1327,,,,,,,,
1328,Not eligible for coverage / N/A,I am not sure,No,No,I don't know,Somewhat easy,Maybe,No
1329,No,I am not sure,No,No,I don't know,Somewhat easy,Yes,Maybe
1330,No,Yes,No,No,I don't know,Very difficult,Yes,Maybe
1331,I don't know,No,No,I don't know,I don't know,Somewhat difficult,No,No
1332,,,,,,,,
1333,Yes,Yes,No,I don't know,I don't know,Very difficult,Yes,No
1334,No,,No,Yes,Yes,Very easy,No,No
1335,No,No,No,No,No,Somewhat difficult,Maybe,Maybe
1336,Not eligible for coverage / N/A,,No,No,I don't know,Somewhat easy,No,No
1337,I don't know,No,No,No,I don't know,Very easy,No,No
1338,Not eligible for coverage / N/A,,No,No,I don't know,Neither easy nor difficult,Yes,Maybe
1339,No,No,No,No,I don't know,Somewhat difficult,Maybe,Maybe
1340,No,No,No,No,No,Somewhat difficult,Yes,Maybe
1341,Yes,Yes,Yes,Yes,I don't know,I don't know,No,No
1342,No,No,I don't know,I don't know,No,Very difficult,Yes,No
1343,No,,No,No,I don't know,Somewhat difficult,Maybe,No
1344,No,No,No,No,I don't know,Neither easy nor difficult,Yes,No
1345,I don't know,No,Yes,Yes,Yes,Somewhat easy,No,No
1346,I don't know,Yes,No,Yes,Yes,Very easy,No,No
1347,,,,,,,,
1348,No,No,No,No,No,Very easy,No,No
1349,I don't know,I am not sure,No,No,I don't know,I don't know,Maybe,No
1350,No,Yes,No,No,No,Somewhat easy,Maybe,Maybe
1351,I don't know,No,No,I don't know,I don't know,Somewhat difficult,Maybe,No
1352,Yes,Yes,No,I don't know,I don't know,Very easy,Maybe,No
1353,No,Yes,Yes,Yes,I don't know,Somewhat difficult,Yes,Yes
1354,,,,,,,,
1355,No,No,No,No,No,Somewhat difficult,Maybe,Maybe
1356,No,No,No,No,Yes,Neither easy nor difficult,No,No
1357,Yes,Yes,Yes,Yes,I don't know,Very easy,No,No
1358,Yes,Yes,No,Yes,Yes,Somewhat easy,No,No
1359,I don't know,No,No,I don't know,I don't know,Somewhat easy,Maybe,Maybe
1360,Not eligible for coverage / N/A,,No,No,I don't know,Somewhat difficult,Maybe,No
1361,Yes,Yes,No,I don't know,I don't know,Neither easy nor difficult,Maybe,No
1362,I don't know,I am not sure,No,Yes,Yes,Somewhat difficult,Maybe,Maybe
1363,I don't know,No,No,No,I don't know,Somewhat easy,Maybe,No
1364,,,,,,,,
1365,,,,,,,,
1366,Yes,Yes,No,Yes,I don't know,Somewhat easy,Maybe,No
1367,,,,,,,,
1368,Yes,I am not sure,I don't know,Yes,Yes,Somewhat difficult,Maybe,No
1369,,,,,,,,
1370,,,,,,,,
1371,Yes,I am not sure,Yes,Yes,I don't know,Somewhat difficult,Maybe,No
1372,Yes,Yes,No,Yes,I don't know,Somewhat difficult,Maybe,No
1373,Yes,No,No,I don't know,I don't know,I don't know,Yes,Maybe
1374,,,,,,,,
1375,No,I am not sure,No,No,I don't know,Very difficult,Yes,Maybe
1376,Yes,I am not sure,Yes,Yes,I don't know,Very difficult,Maybe,No
1377,Not eligible for coverage / N/A,No,No,No,Yes,Neither easy nor difficult,Maybe,No
1378,Yes,No,No,Yes,I don't know,I don't know,Yes,No
1379,Yes,Yes,No,No,Yes,Neither easy nor difficult,No,No
1380,Yes,Yes,No,No,I don't know,Very difficult,Maybe,No
1381,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No
1382,,,,,,,,
1383,Not eligible for coverage / N/A,,No,No,Yes,Somewhat easy,No,No
1384,Yes,I am not sure,No,No,I don't know,Somewhat difficult,Maybe,Maybe
1385,Yes,Yes,No,No,I don't know,I don't know,Maybe,No
1386,I don't know,Yes,No,No,I don't know,Neither easy nor difficult,Maybe,Maybe
1387,Yes,I am not sure,Yes,Yes,I don't know,Somewhat easy,Maybe,No
1388,Yes,No,No,I don't know,Yes,Somewhat difficult,Maybe,No
1389,I don't know,I am not sure,Yes,Yes,I don't know,Somewhat easy,Maybe,No
1390,I don't know,I am not sure,No,No,I don't know,Neither easy nor difficult,Yes,No
1391,Yes,No,No,No,I don't know,Very difficult,Yes,Maybe
