,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence
865,No,No,No,No,No,Somewhat difficult,Yes,Maybe
866,Yes,Yes,No,No,Don't know,Somewhat easy,Maybe,Maybe
867,No,Yes,No,No,Don't know,Very difficult,Maybe,Maybe
868,No,Yes,No,No,Yes,Somewhat easy,No,No
869,Don't know,No,No,Don't know,Don't know,Don't know,No,No
870,Yes,Yes,Don't know,Yes,Yes,Somewhat easy,No,No
871,Don't know,No,No,No,Don't know,Somewhat difficult,Maybe,No
872,Yes,Yes,Yes,Yes,Yes,Don't know,Maybe,Maybe
873,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,No,No
874,Yes,Yes,No,No,Yes,Very easy,Maybe,No
875,Don't know,Not sure,No,Don't know,Don't know,Very difficult,Yes,No
876,Yes,No,Yes,No,Yes,Somewhat easy,Maybe,No
877,Don't know,Not sure,No,Don't know,Don't know,Don't know,Maybe,No
878,No,No,No,Yes,Don't know,Somewhat easy,Yes,Maybe
879,Yes,Yes,No,Don't know,Yes,Very easy,Maybe,No
880,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,Maybe,No
881,Yes,Yes,Don't know,Don't know,Yes,Very easy,No,No
882,Yes,No,Yes,Don't know,Don't know,Don't know,Maybe,No
883,Yes,No,No,Don't know,Don't know,Somewhat difficult,No,No
884,Yes,Yes,No,Don't know,Don't know,Don't know,Maybe,Maybe
885,Don't know,No,No,No,Don't know,Don't know,Maybe,No
886,Don't know,Not sure,No,No,Don't know,Don't know,No,No
887,Yes,Yes,Yes,Yes,Don't know,Somewhat easy,No,No
888,No,No,No,No,Yes,Very easy,No,No
889,Yes,No,Yes,Yes,Don't know,Don't know,Maybe,Maybe
890,Yes,Not sure,Don't know,Yes,Don't know,Don't know,Maybe,Maybe
891,No,Yes,No,No,Don't know,Very difficult,Yes,No
892,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,No,No
893,Yes,No,Don't know,Yes,Don't know,Very difficult,Yes,Yes
894,Don't know,Not sure,No,Don't know,Don't know,Don't know,Maybe,Maybe
895,Don't know,Not sure,No,Don't know,Don't know,Somewhat difficult,No,No
896,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No
897,No,Not sure,No,No,Yes,Somewhat difficult,Maybe,Maybe
898,No,Yes,No,No,Yes,Somewhat easy,No,No
899,Don't know,No,No,Don't know,Don't know,Somewhat easy,No,No
900,No,No,No,No,Don't know,Don't know,Yes,Maybe
901,No,No,No,No,Don't know,Very difficult,Yes,Yes
902,Yes,Yes,Yes,Yes,Yes,Very easy,Maybe,Maybe
903,No,Yes,No,No,Yes,Very easy,No,No
904,No,Yes,No,No,Yes,Somewhat difficult,No,No
905,Yes,Yes,No,Yes,Yes,Somewhat difficult,Yes,Maybe
906,Yes,No,Yes,Yes,Don't know,Don't know,Yes,Maybe
907,Yes,Yes,Yes,No,Don't know,Don't know,Yes,Yes
908,Yes,Yes,Don't know,Don't know,Don't know,Don't know,Maybe,No
909,Yes,Yes,Yes,Yes,Yes,Don't know,Maybe,Maybe
910,No,No,No,No,Don't know,Somewhat easy,Yes,No
911,Yes,Yes,No,Yes,Don't know,Don't know,Maybe,Maybe
912,No,No,No,No,Don't know,Very easy,No,No
913,Don't know,Yes,No,Yes,Don't know,Somewhat easy,No,No
914,Yes,Yes,No,No,Yes,Somewhat easy,No,No
915,No,No,No,No,Don't know,Somewhat difficult,Yes,Maybe
916,No,Yes,No,No,Yes,Somewhat easy,Maybe,Maybe
917,No,No,No,No,Yes,Somewhat difficult,No,No
918,Yes,Yes,Yes,Yes,Yes,Very easy,No,No
919,Don't know,Not sure,No,Don't know,Don't know,Don't know,Yes,Yes
920,Don't know,Not sure,No,Don't know,Don't know,Somewhat easy,No,No
921,Yes,Yes,No,Yes,Yes,Somewhat difficult,Maybe,No
922,Yes,No,No,No,Don't know,Don't know,Maybe,Maybe
923,No,Yes,Don't know,No,Yes,Somewhat difficult,Yes,Maybe
924,Yes,No,Don't know,Don't know,Don't know,Very easy,No,No
925,Yes,No,Yes,No,Don't know,Don't know,Yes,Maybe
926,Yes,Not sure,No,Don't know,Don't know,Don't know,Maybe,No
927,Yes,Yes,Yes,Yes,Don't know,Somewhat easy,No,No
928,Yes,No,No,No,Yes,Don't know,No,No
929,Don't know,No,Don't know,Don't know,Don't know,Very easy,No,No
930,Yes,Not sure,Yes,Yes,Yes,Somewhat difficult,Maybe,Maybe
931,Don't know,No,No,Yes,Don't know,Very easy,No,No
932,Yes,Yes,No,Yes,Yes,Very difficult,Yes,Maybe
933,No,Not sure,No,No,Don't know,Very difficult,Yes,Yes
934,Don't know,Not sure,No,Yes,Yes,Very difficult,Maybe,No
935,No,No,No,No,Yes,Very difficult,Maybe,No
936,Don't know,No,No,Don't know,Don't know,Don't know,Yes,Maybe
937,Don't know,No,No,Don't know,Don't know,Don't know,No,No
938,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,No
939,Yes,Yes,Yes,Yes,Yes,Somewhat difficult,Maybe,Maybe
940,Yes,Yes,Don't know,Don't know,Don't know,Don't know,Maybe,No
941,Yes,Yes,Yes,Yes,Yes,Very difficult,Yes,No
942,Yes,Yes,No,Don't know,Yes,Somewhat easy,Maybe,No
943,Yes,Yes,Yes,Yes,Don't know,Don't know,Yes,No
944,Don't know,No,Don't know,Don't know,Don't know,Somewhat easy,Maybe,No
945,Yes,Yes,No,No,Yes,Don't know,Yes,No
946,Yes,Yes,Yes,Yes,Don't know,Don't know,No,No
947,Yes,Yes,Yes,Yes,Don't know,Somewhat easy,No,No
948,Yes,Yes,Don't know,Yes,Don't know,Very difficult,Maybe,Maybe
949,Yes,Yes,Don't know,Don't know,Yes,Very easy,Maybe,No
950,No,Yes,No,No,Yes,Very easy,No,No
951,Don't know,Yes,No,No,No,Somewhat easy,Yes,Maybe
952,No,No,No,No,Don't know,Very difficult,Yes,Maybe
953,Don't know,No,No,Don't know,Don't know,Don't know,Yes,Maybe
954,No,No,No,No,Yes,Don't know,Maybe,No
955,Don't know,Not sure,Yes,No,Yes,Somewhat easy,No,No
956,Don't know,No,No,Don't know,Don't know,Don't know,Yes,Maybe
957,Yes,Yes,Yes,Yes,Yes,Very easy,No,No
958,Yes,Not sure,Don't know,Don't know,Don't know,Don't know,No,No
959,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,No,No
960,Don't know,No,No,No,Don't know,Very easy,No,No
961,No,Yes,No,No,Yes,Somewhat easy,No,No
962,Don't know,No,No,No,Don't know,Somewhat difficult,Yes,Maybe
963,Don't know,Not sure,No,No,Don't know,Don't know,Maybe,No
964,Yes,Yes,Yes,Yes,Don't know,Somewhat easy,Yes,Maybe
965,No,Yes,No,No,No,Very difficult,Yes,Maybe
966,No,No,No,No,Don't know,Very easy,Maybe,No
967,Don't know,Not sure,Don't know,Don't know,Don't know,Very easy,No,No
968,Don't know,No,No,No,Don't know,Don't know,Maybe,No
969,No,Yes,Yes,Yes,Yes,Very easy,No,No
970,No,Not sure,No,No,Don't know,Very difficult,Yes,Maybe
971,No,Yes,No,No,No,Very difficult,Yes,Yes
972,Don't know,Not sure,No,Don't know,Don't know,Don't know,No,No
973,Yes,Yes,Yes,Yes,Yes,Don't know,No,No
974,Don't know,Not sure,No,No,Don't know,Somewhat easy,No,No
975,Don't know,No,Don't know,Don't know,Don't know,Don't know,No,No
976,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,Maybe
977,Yes,Yes,Don't know,No,Yes,Somewhat easy,Maybe,Maybe
978,Yes,No,No,No,No,Somewhat easy,Maybe,No
979,No,No,No,No,Don't know,Somewhat easy,Maybe,Maybe
980,No,No,No,No,Don't know,Don't know,Maybe,Maybe
981,No,Yes,No,No,Yes,Somewhat easy,Yes,Maybe
982,Yes,Yes,No,Yes,No,Somewhat easy,Yes,Yes
983,Don't know,Not sure,No,Don't know,Don't know,Don't know,Maybe,No
984,Yes,Not sure,Yes,No,Yes,Very easy,No,No
985,No,No,No,No,Don't know,Very easy,No,No
986,Don't know,Not sure,No,No,Don't know,Somewhat difficult,Yes,Yes
987,No,No,No,No,No,Somewhat difficult,Yes,No
988,Yes,Not sure,Yes,Yes,Yes,Somewhat easy,No,No
989,Yes,Yes,Yes,Yes,Yes,Very easy,Yes,Yes
990,No,No,No,No,Yes,Somewhat easy,No,No
991,Yes,No,No,Yes,Don't know,Very easy,No,No
992,Yes,Yes,Yes,Don't know,Yes,Very easy,No,No
993,No,Yes,No,No,Yes,Very easy,Maybe,Maybe
994,Don't know,No,No,No,Don't know,Don't know,Yes,No
995,Don't know,Not sure,No,Don't know,Don't know,Somewhat easy,No,No
996,Yes,Yes,No,No,Yes,Very easy,Maybe,No
997,Yes,Not sure,No,Don't know,Don't know,Don't know,Yes,Yes
998,No,No,No,No,Don't know,Don't know,Yes,No
999,No,No,No,No,Don't know,Don't know,No,No
1000,Yes,Yes,No,Don't know,Yes,Somewhat easy,No,No
1001,Don't know,No,No,Don't know,Don't know,Don't know,Maybe,No
1002,Yes,Yes,No,No,Yes,Very easy,No,No
1003,Don't know,No,No,Don't know,Don't know,Don't know,Maybe,No
1004,No,Yes,No,No,Yes,Very easy,Yes,Yes
1005,Don't know,No,No,Don't know,Don't know,Very easy,Maybe,No
1006,Yes,Yes,No,Yes,Yes,Very easy,No,No
1007,Don't know,No,No,No,Don't know,Don't know,Yes,No
1008,No,Yes,No,No,Yes,Somewhat easy,No,No
1009,Don't know,Not sure,No,No,Don't know,Don't know,Yes,No
1010,Yes,Yes,Yes,Yes,Yes,Don't know,Maybe,No
1011,No,Yes,Don't know,Don't know,Yes,Somewhat easy,Maybe,No
1012,Yes,Yes,No,Don't know,Don't know,Somewhat difficult,Yes,Maybe
1013,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,No,No
1014,Yes,Not sure,Yes,Yes,Yes,Don't know,Yes,Maybe
1015,Don't know,Not sure,No,No,Yes,Very easy,Maybe,No
1016,Don't know,Not sure,No,No,Don't know,Somewhat easy,No,No
1017,Yes,Yes,Yes,Yes,Don't know,Don't know,Yes,No
1018,Yes,No,No,No,Don't know,Don't know,Maybe,No
1019,Don't know,No,No,No,Don't know,Somewhat easy,Yes,No
1020,Don't know,No,No,No,Don't know,Somewhat easy,No,No
1021,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,Maybe
1022,Yes,Yes,Yes,Yes,Don't know,Somewhat easy,No,No
1023,No,No,No,No,Don't know,Don't know,Maybe,Maybe
1024,Don't know,No,No,No,Don't know,Somewhat easy,Maybe,No
1025,Don't know,No,No,Don't know,Don't know,Don't know,Maybe,Maybe
1026,Yes,Yes,Yes,Yes,Don't know,Don't know,Maybe,No
1027,Don't know,Not sure,No,No,Don't know,Don't know,No,No
1028,Yes,Yes,Yes,No,Don't know,Don't know,Yes,Yes
1029,Yes,Not sure,Yes,Don't know,Don't know,Don't know,Maybe,Maybe
1030,Don't know,Not sure,No,No,Don't know,Don't know,No,No
1031,Don't know,Not sure,Don't know,Don't know,Yes,Don't know,No,No
1032,Yes,Not sure,Yes,Don't know,Don't know,Don't know,Yes,Maybe
1033,No,No,No,No,No,Very difficult,Yes,No
1034,Don't know,No,No,Don't know,Don't know,Don't know,Yes,Maybe
1035,No,Yes,No,No,Don't know,Don't know,Maybe,No
1036,No,No,No,No,Yes,Don't know,No,No
1037,Don't know,No,Don't know,Don't know,Yes,Don't know,Yes,No
1038,No,Not sure,No,No,Don't know,Very easy,No,No
1039,No,No,No,No,Don't know,Don't know,No,No
1040,Don't know,No,No,No,Don't know,Somewhat easy,Yes,No
1041,Yes,No,Don't know,Yes,Yes,Don't know,No,No
1042,Yes,Yes,No,Yes,Don't know,Don't know,Yes,No
1043,Yes,Yes,No,No,Yes,Don't know,Maybe,No
1044,Yes,Yes,No,No,Don't know,Don't know,Maybe,No
1045,Yes,Not sure,No,No,Yes,Don't know,Maybe,No
1046,No,Not sure,No,No,Don't know,Somewhat easy,No,No
1047,No,No,No,No,Don't know,Somewhat easy,No,No
1048,No,Yes,Yes,Yes,Yes,Very difficult,No,No
1049,No,Yes,Yes,Yes,Yes,Somewhat difficult,No,No
1050,Yes,Yes,No,No,Don't know,Don't know,No,No
1051,No,No,No,No,Don't know,Somewhat difficult,Yes,No
1052,Don't know,Not sure,No,No,Yes,Very easy,No,No
1053,Don't know,Not sure,Don't know,Don't know,Don't know,Very easy,No,No
1054,Don't know,No,No,Don't know,Don't know,Don't know,Maybe,No
1055,Yes,Yes,No,Don't know,Yes,Very easy,No,No
1056,Don't know,No,No,Don't know,Don't know,Don't know,Maybe,No
1057,Don't know,No,No,No,No,Very easy,Maybe,No
1058,Yes,Not sure,Don't know,Don't know,Don't know,Don't know,Maybe,No
1059,Yes,Yes,Don't know,Yes,Yes,Very easy,No,No
1060,Yes,No,No,No,Don't know,Somewhat easy,No,No
1061,Don't know,Not sure,No,No,Yes,Very difficult,Maybe,No
1062,Don't know,No,No,No,Yes,Somewhat difficult,No,No
1063,Don't know,No,No,No,Don't know,Somewhat easy,Maybe,No
1064,No,No,No,No,Don't know,Somewhat easy,Maybe,No
1065,Don't know,No,No,No,Yes,Don't know,No,No
1066,Yes,Not sure,Don't know,Don't know,Don't know,Somewhat easy,Maybe,Maybe
1067,Yes,Yes,No,Don't know,Don't know,Somewhat difficult,Maybe,No
1068,Yes,Yes,Yes,Yes,Yes,Don't know,Maybe,No
1069,No,No,No,No,Don't know,Very difficult,Yes,Maybe
1070,No,No,No,No,Don't know,Don't know,Maybe,Maybe
1071,Yes,Not sure,No,Yes,Don't know,Don't know,Maybe,No
1072,Yes,Yes,Yes,Yes,Don't know,Don't know,Maybe,Maybe
1073,Don't know,No,No,No,Don't know,Don't know,No,No
1074,Yes,Yes,No,No,Don't know,Somewhat easy,Maybe,No
1075,Yes,Yes,Yes,Yes,Yes,Don't know,Yes,Yes
1076,Yes,Not sure,No,Don't know,Don't know,Don't know,Maybe,Maybe
1077,Yes,Yes,Yes,Yes,Yes,Very difficult,Maybe,No
1078,Yes,Yes,No,Don't know,Don't know,Don't know,Yes,Maybe
1079,No,No,No,No,Yes,Very difficult,Maybe,No
1080,No,Yes,No,No,Yes,Very easy,Maybe,No
1081,Don't know,Not sure,Don't know,Yes,Don't know,Very difficult,No,Maybe
1082,Yes,No,No,No,Don't know,Somewhat difficult,Yes,No
1083,Don't know,No,Yes,Don't know,Don't know,Somewhat easy,No,No
1084,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,Maybe
1085,Don't know,No,No,No,Yes,Very easy,No,No
1086,Don't know,No,No,No,Don't know,Somewhat difficult,No,No
1087,Yes,Not sure,Yes,Yes,Don't know,Don't know,Yes,Maybe
1088,Yes,Yes,Yes,Don't know,Yes,Don't know,No,No
1089,Yes,Yes,Don't know,Don't know,Don't know,Don't know,Maybe,No
1090,No,Yes,No,No,Yes,Very easy,No,No
1091,Yes,Yes,No,Don't know,Don't know,Somewhat easy,Maybe,No
1092,No,Yes,No,No,Don't know,Very difficult,Yes,No
1093,Yes,Yes,Yes,Don't know,Yes,Don't know,Yes,No
1094,Yes,No,No,Yes,Yes,Very easy,No,No
1095,No,Yes,No,No,No,Very difficult,No,No
1096,Don't know,No,No,No,Don't know,Very easy,No,No
1097,Yes,Not sure,Yes,Don't know,Don't know,Somewhat difficult,Maybe,No
1098,Don't know,Not sure,Yes,Don't know,Yes,Somewhat easy,No,No
1099,Don't know,No,No,Don't know,Don't know,Don't know,No,No
1100,Yes,Not sure,No,Yes,Don't know,Don't know,Maybe,No
1101,Don't know,Not sure,No,No,Don't know,Don't know,Maybe,No
1102,No,Yes,No,No,No,Very difficult,Yes,Yes
1103,Don't know,No,No,No,Don't know,Somewhat easy,No,No
1104,Yes,No,No,No,Don't know,Don't know,Yes,Maybe
1105,No,Yes,No,Don't know,Don't know,Somewhat easy,Maybe,No
1106,No,No,No,No,Don't know,Don't know,Maybe,Maybe
1107,No,No,Don't know,Don't know,Don't know,Very easy,No,No
1108,Yes,Yes,Don't know,Don't know,Don't know,Don't know,Yes,No
1109,No,No,No,No,No,Very easy,Maybe,Maybe
1110,Yes,Yes,No,Don't know,Yes,Very easy,No,No
1111,Yes,No,No,No,Yes,Somewhat easy,Maybe,Maybe
1112,No,Not sure,No,No,Don't know,Don't know,Maybe,No
1113,Don't know,No,Don't know,Don't know,Don't know,Very easy,No,No
1114,Yes,Not sure,Don't know,Don't know,Don't know,Somewhat easy,Maybe,No
1115,Yes,Yes,No,No,Yes,Don't know,Maybe,No
1116,Don't know,Not sure,No,Don't know,Don't know,Very easy,Maybe,No
1117,Don't know,Yes,No,Don't know,Don't know,Don't know,Yes,Maybe
1118,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Yes,No
1119,No,Yes,No,No,Don't know,Don't know,Yes,Yes
1120,No,Yes,Yes,Yes,Yes,Very easy,No,No
1121,No,No,No,Yes,Don't know,Don't know,Maybe,No
1122,Don't know,Not sure,No,Don't know,Don't know,Very easy,Maybe,No
1123,Don't know,No,Don't know,Don't know,Don't know,Don't know,No,No
1124,Don't know,Not sure,Don't know,Don't know,Yes,Don't know,No,No
1125,No,No,No,No,Don't know,Don't know,Maybe,No
1126,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,No,No
1127,Yes,Yes,Yes,Yes,Yes,Very easy,Yes,Yes
1128,No,No,No,No,Yes,Somewhat easy,Maybe,No
1129,Yes,No,No,No,Yes,Somewhat easy,Maybe,No
1130,Yes,Yes,No,No,Don't know,Don't know,Yes,No
1131,No,No,No,No,Don't know,Don't know,Maybe,No
1132,Yes,Yes,No,No,Yes,Somewhat easy,Maybe,Maybe
1133,No,Yes,No,Yes,No,Somewhat difficult,Yes,No
1134,No,Yes,No,Yes,No,Somewhat difficult,Yes,No
1135,No,No,No,No,Yes,Somewhat easy,Maybe,No
1136,No,No,No,No,Yes,Very easy,No,No
1137,No,No,No,No,Don't know,Somewhat difficult,Maybe,Maybe
1138,Don't know,Not sure,No,No,Don't know,Somewhat easy,Maybe,No
1139,Don't know,No,No,Don't know,Don't know,Don't know,Maybe,No
1140,No,Yes,No,No,Yes,Very difficult,No,No
1141,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,Maybe,Maybe
1142,No,No,No,No,Don't know,Somewhat easy,Yes,Maybe
1143,No,Yes,No,No,Yes,Don't know,Maybe,No
1144,No,Yes,Yes,Yes,Yes,Somewhat difficult,No,No
1145,Don't know,No,No,No,Don't know,Don't know,Maybe,No
1146,No,Not sure,Don't know,Don't know,Don't know,Very easy,No,No
1147,No,No,No,No,Yes,Very easy,Maybe,Maybe
1148,Yes,Yes,No,Yes,Don't know,Somewhat easy,Yes,No
1149,Yes,Not sure,No,Don't know,Don't know,Don't know,Maybe,No
1150,Yes,Yes,Yes,Yes,Yes,Somewhat difficult,Maybe,Maybe
1151,No,No,No,No,Don't know,Don't know,Yes,Maybe
1152,Don't know,Not sure,No,Don't know,Don't know,Don't know,No,No
1153,Yes,Yes,Yes,Yes,Yes,Very easy,No,No
1154,Don't know,Not sure,No,No,Don't know,Somewhat easy,Yes,No
1155,Don't know,Not sure,No,No,Don't know,Very easy,No,No
1156,Don't know,Not sure,Don't know,Don't know,Don't know,Very easy,Yes,Yes
1157,Don't know,Not sure,No,Don't know,Don't know,Somewhat easy,No,No
1158,No,Yes,No,No,Don't know,Don't know,No,No
1159,Don't know,No,No,Don't know,Don't know,Don't know,Yes,No
1160,Yes,Yes,No,No,Don't know,Don't know,Yes,No
1161,Yes,No,No,Yes,Don't know,Don't know,Maybe,Yes
1162,Don't know,Not sure,No,No,Don't know,Don't know,Yes,Yes
1163,Don't know,No,No,Don't know,Don't know,Somewhat easy,Maybe,No
1164,Yes,Yes,No,No,Yes,Don't know,Maybe,No
1165,Yes,No,Yes,Don't know,Don't know,Don't know,Maybe,No
1166,Yes,Yes,Yes,Yes,Don't know,Don't know,Maybe,No
1167,Don't know,Not sure,No,No,Don't know,Don't know,Maybe,No
1168,No,No,No,No,No,Very difficult,Yes,No
1169,Yes,Yes,No,Don't know,Don't know,Don't know,Maybe,No
1170,Don't know,Not sure,No,No,Don't know,Don't know,Maybe,No
1171,Yes,No,Yes,Yes,Don't know,Don't know,Yes,Maybe
1172,Yes,Yes,No,Yes,Yes,Somewhat easy,No,No
1173,No,No,No,No,Don't know,Very difficult,Maybe,No
1174,No,No,No,No,Don't know,Very difficult,Yes,Yes
1175,Don't know,No,No,No,Don't know,Somewhat difficult,No,No
1176,Yes,No,No,No,Don't know,Don't know,Maybe,Maybe
1177,No,No,No,Don't know,Don't know,Don't know,No,No
1178,No,Yes,No,No,Don't know,Somewhat easy,No,No
1179,No,No,No,No,Don't know,Don't know,Maybe,Maybe
1180,Yes,Yes,No,No,Yes,Don't know,Maybe,Maybe
1181,Yes,Yes,Yes,Yes,Yes,Don't know,Maybe,No
1182,Yes,Not sure,Don't know,Yes,Don't know,Somewhat easy,Maybe,Maybe
1183,No,No,No,No,Yes,Don't know,Maybe,Maybe
1184,No,Yes,No,No,Don't know,Very difficult,Yes,Maybe
1185,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,No,No
1186,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,Maybe,Maybe
1187,Yes,No,No,No,Don't know,Don't know,Maybe,No
1188,Don't know,Not sure,No,No,Yes,Very easy,Maybe,No
1189,Yes,Yes,No,No,Yes,Don't know,Maybe,No
1190,Yes,Yes,No,Yes,Yes,Don't know,Maybe,No
1191,Yes,Not sure,Yes,Yes,Yes,Don't know,Maybe,No
1192,Don't know,No,No,No,Don't know,Somewhat easy,No,No
1193,Don't know,Not sure,Don't know,Don't know,Yes,Don't know,No,No
1194,Don't know,Not sure,No,No,Don't know,Don't know,No,No
1195,Yes,Yes,Yes,No,Yes,Don't know,Yes,Yes
1196,Don't know,No,No,No,No,Don't know,Maybe,No
1197,No,No,No,No,Don't know,Somewhat difficult,Yes,Maybe
1198,Yes,Not sure,No,Don't know,Don't know,Very difficult,Yes,Maybe
1199,Don't know,Not sure,No,Don't know,Don't know,Don't know,Maybe,No
1200,No,Yes,No,No,Don't know,Don't know,Yes,No
1201,Yes,No,No,No,Don't know,Somewhat easy,Yes,Yes
1202,No,Yes,No,No,No,Don't know,No,No
1203,Don't know,Not sure,No,No,Don't know,Somewhat easy,Maybe,Maybe
1204,No,No,No,No,Don't know,Don't know,Maybe,No
1205,No,No,No,No,Don't know,Somewhat easy,No,No
1206,Don't know,Not sure,No,No,Don't know,Somewhat easy,Maybe,No
1207,No,Yes,No,No,No,Very easy,Maybe,Maybe
1208,No,Yes,No,No,Don't know,Somewhat easy,No,No
1209,Don't know,Not sure,No,No,Don't know,Somewhat difficult,Maybe,No
1210,No,No,No,No,Don't know,Don't know,Maybe,Maybe
1211,Don't know,Not sure,No,No,Don't know,Don't know,Yes,No
1212,No,Yes,No,Yes,Yes,Somewhat difficult,Maybe,Maybe
1213,Don't know,No,No,No,Don't know,Very difficult,Yes,Yes
1214,Yes,Yes,No,No,Yes,Don't know,Maybe,No
1215,No,Not sure,No,No,Don't know,Somewhat easy,Maybe,Maybe
1216,Don't know,Not sure,No,Yes,Don't know,Don't know,No,No
1217,No,Yes,No,No,No,Somewhat difficult,Yes,Yes
1218,No,Not sure,No,No,Don't know,Somewhat easy,Maybe,Maybe
1219,Yes,No,Yes,Yes,Yes,Very easy,No,No
1220,Don't know,No,No,No,Don't know,Don't know,Maybe,No
1221,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,No,No
1222,Don't know,Yes,Don't know,Yes,No,Somewhat easy,No,No
1223,Don't know,No,No,No,Don't know,Somewhat easy,Maybe,No
1224,Yes,Yes,No,Yes,Don't know,Somewhat easy,Maybe,No
1225,No,Yes,Yes,No,Don't know,Don't know,No,No
1226,Yes,Not sure,Yes,Don't know,Don't know,Somewhat easy,Maybe,Maybe
1227,Yes,Yes,Don't know,Yes,Yes,Don't know,Maybe,No
1228,Don't know,Yes,No,No,Don't know,Somewhat easy,Yes,No
1229,No,No,No,No,Yes,Don't know,Yes,No
1230,No,Yes,No,Yes,Yes,Very easy,No,No
1231,No,No,No,No,Don't know,Don't know,Maybe,Maybe
1232,Yes,Yes,Yes,Yes,Yes,Very easy,No,No
1233,No,Yes,No,No,Don't know,Don't know,No,No
1234,Don't know,No,No,Don't know,Don't know,Don't know,Yes,Maybe
1235,Yes,Yes,Yes,Don't know,Don't know,Don't know,Maybe,No
1236,Don't know,No,Yes,Don't know,Don't know,Somewhat easy,Maybe,Maybe
1237,No,Yes,No,No,Yes,Don't know,Yes,Maybe
1238,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Yes,Maybe
1239,Don't know,No,No,No,Don't know,Don't know,Maybe,No
1240,Don't know,No,No,No,Yes,Somewhat easy,No,No
1241,No,No,No,No,Don't know,Somewhat easy,Maybe,No
1242,Don't know,No,No,Don't know,Don't know,Don't know,Maybe,No
1243,Yes,Yes,No,Yes,Don't know,Don't know,No,No
1244,No,No,No,Don't know,Don't know,Don't know,Maybe,No
1245,Yes,Yes,Yes,Yes,Yes,Don't know,Maybe,Maybe
1246,Yes,Not sure,Don't know,Yes,Don't know,Somewhat easy,No,No
1247,No,No,No,No,No,Very difficult,Yes,No
1248,Yes,No,No,Don't know,Don't know,Don't know,Yes,Maybe
1249,Yes,Yes,Don't know,No,Yes,Very easy,No,No
1250,Yes,Not sure,Yes,Yes,Don't know,Don't know,No,No
1251,No,Yes,No,No,Don't know,Somewhat easy,No,No
1252,Yes,Yes,Yes,No,Yes,Don't know,Yes,No
1253,Don't know,No,Yes,Yes,Don't know,Somewhat easy,Maybe,Maybe
1254,No,No,No,No,Don't know,Somewhat easy,No,No
1255,Yes,Yes,No,No,Yes,Somewhat difficult,No,No
1256,Yes,Yes,No,No,Don't know,Somewhat difficult,Yes,Yes
1257,No,Yes,No,No,Don't know,Don't know,Yes,No
1258,Yes,Yes,No,No,Yes,Don't know,Maybe,No
